city_ascii,county_name,county_fips,state_id,metfips,metarea
Harrisville,Lewis,36049,NY,NA,NA
Loghill Village,Ouray,08091,CO,NA,NA
Patton Village,Lassen,06035,CA,NA,NA
Lockwood,Monterey,06053,CA,41500,"Salinas, CA (Metropolitan Statistical Area)"
Peters,San Joaquin,06077,CA,44700,"Stockton, CA (Metropolitan Statistical Area)"
Bedford Park,Cook,17031,IL,16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)"
Pavo,Brooks,13027,GA,46660,"Valdosta, GA (Metropolitan Statistical Area)"
Burlington,Carroll,18015,IN,29200,"Lafayette-West Lafayette, IN (Metropolitan Statistical Area)"
Millington,Kent,24029,MD,NA,NA
Calumet,Canadian,40017,OK,36420,"Oklahoma City, OK (Metropolitan Statistical Area)"
Thurston,Fairfield,39045,OH,18140,"Columbus, OH (Metropolitan Statistical Area)"
Pleasant Hope,Polk,29167,MO,44180,"Springfield, MO (Metropolitan Statistical Area)"
Hardin,Marshall,21157,KY,NA,NA
Plum City,Pierce,55093,WI,33460,"Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)"
Fairchild,Eau Claire,55035,WI,20740,"Eau Claire, WI (Metropolitan Statistical Area)"
Poplar,Douglas,55031,WI,20260,"Duluth, MN-WI (Metropolitan Statistical Area)"
Cedar Grove,Santa Fe,35049,NM,42140,"Santa Fe, NM (Metropolitan Statistical Area)"
Ridgecrest,Concordia,22029,LA,NA,NA
Elgin,Grant,38037,ND,NA,NA
Northampton,Suffolk,36103,NY,35620,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)"
Joffre,Washington,42125,PA,38300,"Pittsburgh, PA (Metropolitan Statistical Area)"
Crucible,Greene,42059,PA,NA,NA
St. Libory,St. Clair,17163,IL,41180,"St. Louis, MO-IL (Metropolitan Statistical Area)"
Jasper,Pipestone,27117,MN,NA,NA
Arlee,Lake,30047,MT,NA,NA
Chenequa,Waukesha,55133,WI,33340,"Milwaukee-Waukesha, WI (Metropolitan Statistical Area)"
Oxford,Marquette,55077,WI,NA,NA
Danville,Boone,54005,WV,16620,"Charleston, WV (Metropolitan Statistical Area)"
Santa Ana Pueblo,Sandoval,35043,NM,10740,"Albuquerque, NM (Metropolitan Statistical Area)"
Carolina,Washington,44009,RI,39300,"Providence-Warwick, RI-MA (Metropolitan Statistical Area)"
Eads,Kiowa,08061,CO,NA,NA
Scotia,Humboldt,06023,CA,NA,NA
Black Rock,Lawrence,05075,AR,NA,NA
Pittsford,Rutland,50021,VT,NA,NA
Dumont,Butler,19023,IA,NA,NA
Burnside,Apache,04001,AZ,NA,NA
Bay View,Erie,39043,OH,NA,NA
Natchez,Natchitoches,22069,LA,NA,NA
East Bend,Yadkin,37197,NC,49180,"Winston-Salem, NC (Metropolitan Statistical Area)"
Salt Creek,Pueblo,08101,CO,39380,"Pueblo, CO (Metropolitan Statistical Area)"
College Station,Pulaski,05119,AR,30780,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)"
Carnesville,Franklin,13119,GA,NA,NA
Doon,Lyon,19119,IA,NA,NA
Juliaetta,Latah,16057,ID,NA,NA
Washington,McClain,40087,OK,36420,"Oklahoma City, OK (Metropolitan Statistical Area)"
Doolittle,Phelps,29161,MO,NA,NA
Verona,Lawrence,29109,MO,NA,NA
Claflin,Barton,20009,KS,NA,NA
New Augusta,Perry,28111,MS,25620,"Hattiesburg, MS (Metropolitan Statistical Area)"
Loyall,Harlan,21095,KY,NA,NA
Milton,Trimble,21223,KY,NA,NA
Fancy Farm,Graves,21083,KY,NA,NA
May Creek,Snohomish,53061,WA,42660,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)"
Oconomowoc Lake,Waukesha,55133,WI,33340,"Milwaukee-Waukesha, WI (Metropolitan Statistical Area)"
Fort White,Columbia,12023,FL,NA,NA
Sandia,Jim Wells,48249,TX,NA,NA
New England,Hettinger,38041,ND,NA,NA
Newport,Herkimer,36043,NY,46540,"Utica-Rome, NY (Metropolitan Statistical Area)"
Tuxedo Park,Orange,36071,NY,39100,"Poughkeepsie-Newburgh-Middletown, NY (Metropolitan Statistical Area)"
Barnum,Carlton,27017,MN,20260,"Duluth, MN-WI (Metropolitan Statistical Area)"
Arlington,Gilliam,41021,OR,NA,NA
Murchison,Henderson,48213,TX,NA,NA
Volente,Travis,48453,TX,12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)"
Niederwald,Caldwell,48055,TX,12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)"
Rule,Haskell,48207,TX,NA,NA
Florien,Sabine,22085,LA,NA,NA
Interlaken,Seneca,36099,NY,NA,NA
Byrnedale,Elk,42047,PA,NA,NA
Big Run,Jefferson,42065,PA,NA,NA
Knoxville,Tioga,42117,PA,NA,NA
Walden,Jackson,08057,CO,NA,NA
